OBJECTID,ROUTE_NUMBER,ROUTE_NAME,DIRECTION,ROUTE_ORIENTATION,ROUTE_DESCRIPTION,NUM_MILES,WEEKDAY_BASE_FREQUENCY,WEEKDAY_PEAK_FREQUENCY,WEEKDAY_NIGHT_FREQUENCY,SATURDAY_BASE_FREQUENCY,SATURDAY_NIGHT_FREQUENCY,SUNDAY_BASE_FREQUENCY,SUNDAY_NIGHT_FREQUENCY,WEEKDAY_SERVICE,SATURDAY_SERVICE,SUNDAY_SERVICE,OPERATION_DAYS,IS_LOCAL_SERVICE,Shape__Length
53,40,Russell,Southbound,North - South,"An east side route that connects Detroit from Downtown Rosa Parks Transit Center to E outer Dr & Van Dyke. The main streets served are Russell, Dequindre and E Outer Dr.",13.9472630546,60,60,0,0,0,0,0,6:00a - 7:51p,No Service,No Service,Monday - Friday,true,0.233449151106625
54,41,Schaefer,Southbound,North - South,"A west side route that connects Detroit from 8 Mile & Schaefer to Brennan & Jefferson (Del Ray). The main street used is Schaefer Hwy. In addition to Detroit, this route serves Dearborn and River Rouge.",13.8271504421,60,60,0,60,0,60,0,5:45a - 10:13p,7:00a - 8:58p,7:00a - 8:57p,Monday - Sunday,true,0.209878139038825
55,41,Schaefer,Northbound,North - South,"A west side route that connects Detroit from 8 Mile & Schaefer to Brennan & Jefferson (Del Ray). The main street used is Schaefer Hwy. In addition to Detroit, this route serves Dearborn and River Rouge.",13.8079779024,60,60,0,60,0,60,0,5:45a - 10:13p,7:00a - 8:58p,7:00a - 8:57p,Monday - Sunday,true,0.209529497847812
56,42,Mid-City Loop,Loop,Loop,"A one-directional, clock-wise route that connects neighborhoods to more resource rich areas. This route begins and end in Highland Park. The main streets served are Oakland, Rosa Parks, St Antoine and Second.",12.6837742865,60,60,0,60,0,60,0,6:38a - 8:03p,7:38a - 7:03p,8:38a - 6:03p,Monday - Sunday,true,0.207560512302202
57,43,Schoolcraft,Eastbound,North - South,"Connects Redford, Detroit & Highland Park. Weekday peak hour trips extend to 8 Mile & Ryan. The main streets served are Schoolcraft, Ewald Circle, Oakman, Oakland, Manchester, Dequindre, E Outer Dr, & Ryan.",11.7335776416,60,30,0,45,0,45,0,4:46a - 9:41p,7:00a - 7:06p,10:05a - 6:56p,Monday - Sunday,true,0.21502020537448
58,43,Schoolcraft,Westbound,North - South,"Connects Redford, Detroit & Highland Park. Weekday peak hour trips extend to 8 Mile & Ryan. The main streets served are Schoolcraft, Ewald Circle, Oakman, Oakland, Manchester, Dequindre, E Outer Dr, & Ryan.",11.440488443,60,30,0,45,0,45,0,4:46a - 9:41p,7:00a - 7:06p,10:05a - 6:56p,Monday - Sunday,true,0.210637922940225
59,46,Southfield,Southbound,North - South,"A west side peak hour route that connects Detroit from 9 Mile & Rutland to Fairlane Mall. The main streets served are Southfield and Paul St. In addition to Detroit, this route also serves Dearborn and Southfield.",12.4987464838,0,60,0,0,0,0,0,5:46 - 8:18p,No Service,No Service,Monday - Friday,true,0.193008954443952
60,46,Southfield,Northbound,North - South,"A west side peak hour route that connects Detroit from 9 Mile & Rutland to Fairlane Mall. The main streets served are Southfield and Paul St. In addition to Detroit, this route also serves Dearborn and Southfield.",12.4643264277,0,60,0,0,0,0,0,5:46 - 8:18p,No Service,No Service,Monday - Friday,true,0.194107401880819
61,52,Chene,Northbound,North - South,"An east side route that connects Detroit from Nevada & Van Dyke to Downtown Rosa Parks Transit Center. The main streets served are Nevada, Joseph Campau and Chene.",12.6762142192,60,60,60,60,60,60,0,6:00a - 9:46p,6:00a - 9:46p,8:00a - 7:44p,Monday - Sunday,true,0.21245458921138
62,52,Chene,Southbound,North - South,"An east side route that connects Detroit from Nevada & Van Dyke to Downtown Rosa Parks Transit Center. The main streets served are Nevada, Joseph Campau and Chene.",12.7001344962,60,60,60,60,60,60,0,6:00a - 9:46p,6:00a - 9:46p,8:00a - 7:44p,Monday - Sunday,true,0.212664920084223
63,60,Evergreen,Southbound,North - South,"A west side route that connects Detroit on 10 Mile & Evergreen to Fairlane Mall. The main street served is Evergreen. In addition to Detroit, this route also serves Dearborn and Southfield.",11.694962634,30,30,60,30,60,60,60,5:00a - 11:10p,6:00a - 11:10p,7:17a - 9:58p,Monday - Sunday,true,0.173504492590882
64,60,Evergreen,Northbound,North - South,"A west side route that connects Detroit on 10 Mile & Evergreen to Fairlane Mall. The main street served is Evergreen. In addition to Detroit, this route also serves Dearborn and Southfield.",11.7526046629,30,30,60,30,60,60,60,5:00a - 11:10p,6:00a - 11:10p,7:17a - 9:58p,Monday - Sunday,true,0.174985349470241
65,67,Cadillac-Harper,Eastbound,East - West,An east side route that connects Detroit from Mack & Moross to Downtown Rosa Parks Transit Center. The main streets served are Harper Ave. E Larned St. Cadillac Blvd.,12.8444502881,60,60,60,60,60,60,0,6:00a - 11:49p,7:00a - 11:49p,7:00a - 8:48p,Monday - Sunday,true,0.228271311136416
66,67,Cadillac-Harper,Westbound,East - West,An east side route that connects Detroit from Mack & Moross to Downtown Rosa Parks Transit Center. The main streets served are Harper Ave. E Larned St. Cadillac Blvd.,12.8695220079,60,60,60,60,60,60,0,6:00a - 11:49p,7:00a - 11:49p,7:00a - 8:48p,Monday - Sunday,true,0.2288840338046
67,68,Chalmers,Southbound,North - South,An east side route that connects Detroit from Jefferson & Maryland to 7 Mile & Gratiot. The main streets served are Chalmers and Schoenherr St.,9.31610164396,60,60,0,60,0,60,0,6:05a - 8:38p,6:05a - 8:38p,7:05a - 6:38p,Monday - Sunday,true,0.14939401720503
68,68,Chalmers,Northbound,North - South,An east side route that connects Detroit from Jefferson & Maryland to 7 Mile & Gratiot. The main streets served are Chalmers and Schoenherr St.,9.32942430494,60,60,0,60,0,60,0,6:05a - 8:38p,6:05a - 8:38p,7:05a - 6:38p,Monday - Sunday,true,0.149600830720506
69,11,Clairmount,Westbound,East - West,"Connects various neighborhoods between Conner & Warren and Clark & Fort. The main street served are Shoemaker, Harper, Owen, Clairmount, Epworth and Junction.",15.3450131033,60,60,0,0,0,0,0,5:00a - 8:41p,No Service,No Service,Monday - Friday,true,0.268207281432897
70,11,Clairmount,Eastbound,East - West,"Connects various neighborhoods between Conner & Warren and Clark & Fort. The main street served are Shoemaker, Harper, Owen, Clairmount, Epworth and Junction.",15.2662226926,60,60,0,0,0,0,0,5:00a - 8:41p,No Service,No Service,Monday - Friday,true,0.266310818015656
71,23,Hamilton,Southbound,North - South,"A west side route that connects Detroit from Downtown Rosa Parks Transit Center to 8 Mile & Woodward (Gateway Shopping Plaza & Meijer). The main streets used are McNichols, John R, Hamilton and 3rd.",11.0915983509,60,60,60,60,60,60,0,5:06a - 10:49p,7:06a - 9:50p,7:00a - 8:43p,Monday - Sunday,true,0.178947539507937
72,23,Hamilton,Northbound,North - South,"A west side route that connects Detroit from Downtown Rosa Parks Transit Center to 8 Mile & Woodward (Gateway Shopping Plaza & Meijer). The main streets used are McNichols, John R, Hamilton and 3rd.",11.4349723593,60,60,60,60,60,60,0,5:06a - 10:49p,7:06a - 9:50p,7:00a - 8:43p,Monday - Sunday,true,0.186264661582112
73,30,Livernois,Southbound,North - South,"Connects neighborhoods between northwest Detroit to southwest Detroit from 8 Mile & Jefferson. Main streets served are Livernois, Jefferson & Dragoon.",1.6621470569,60,60,0,60,0,60,0,5:50a - 9:51p,6:58a - 9:46p,7:00a - 7:46p,Monday - Sunday,true,0.0303754218902722
74,30,Livernois,Northbound,North - South,"Connects neighborhoods between northwest Detroit to southwest Detroit from 8 Mile & Jefferson. Main streets served are Livernois, Jefferson & Dragoon.",1.6999289857,60,60,0,60,0,60,0,5:50a - 9:51p,6:58a - 9:46p,7:00a - 7:46p,Monday - Sunday,true,0.0297933574392643
75,30,Livernois,Southbound,North - South,"Connects neighborhoods between northwest Detroit to southwest Detroit from 8 Mile & Jefferson. Main streets served are Livernois, Jefferson & Dragoon.",13.3942434386,60,60,0,60,0,60,0,5:50a - 9:51p,6:58a - 9:46p,7:00a - 7:46p,Monday - Sunday,true,0.208466468458188
76,30,Livernois,Northbound,North - South,"Connects neighborhoods between northwest Detroit to southwest Detroit from 8 Mile & Jefferson. Main streets served are Livernois, Jefferson & Dragoon.",12.9591563555,60,60,0,60,0,60,0,5:50a - 9:51p,6:58a - 9:46p,7:00a - 7:46p,Monday - Sunday,true,0.20180812062474
77,54,Wyoming,Northbound,North - South,A westside route that connects Detroit from 8 Mile & Wyoming to S West End St & Jefferson (Del Ray). The main streets served are Wyoming and Dearborn St.,2.55432657202,60,60,0,60,0,60,0,6:00a - 9:52p,7:07a - 8:54p,8:02a - 7:52p,Monday - Sunday,true,0.0495236966592694
78,54,Wyoming,Southbound,North - South,A westside route that connects Detroit from 8 Mile & Wyoming to S West End St & Jefferson (Del Ray). The main streets served are Wyoming and Dearborn St.,2.37637725883,60,60,0,60,0,60,0,6:00a - 9:52p,7:07a - 8:54p,8:02a - 7:52p,Monday - Sunday,true,0.0484612640695395
79,54,Wyoming,Southbound,North - South,A westside route that connects Detroit from 8 Mile & Wyoming to S West End St & Jefferson (Del Ray). The main streets served are Wyoming and Dearborn St.,13.1007552418,60,60,0,60,0,60,0,6:00a - 9:52p,7:07a - 8:54p,8:02a - 7:52p,Monday - Sunday,true,0.201271327976378
80,54,Wyoming,Northbound,North - South,A westside route that connects Detroit from 8 Mile & Wyoming to S West End St & Jefferson (Del Ray). The main streets served are Wyoming and Dearborn St.,13.0627104987,60,60,0,60,0,60,0,6:00a - 9:52p,7:07a - 8:54p,8:02a - 7:52p,Monday - Sunday,true,0.200937739679166
